0, 0.10398
0.01, 0.111337
0.02, 0.117439
0.03, 0.121391
0.04, 0.125179
0.05, 0.134505
0.06, 0.142763
0.07, 0.151761
0.08, 0.162507
0.09, 0.180209
0.1, 0.186213
0.11, 0.196567
0.12, 0.218946
0.13, 0.245216
0.14, 0.265654
0.15, 0.301572
0.16, 0.328021
0.17, 0.387404
0.18, 0.426663
0.19, 0.507487
0.2, 0.606363
0.21, 0.606363
0.22, 0.606363
0.23, 0.606363
0.24, 0.606363
0.25, 0.606134
0.26, 0.606134
0.27, 0.606134
0.28, 0.606134
0.29, 0.606134
0.3, 0.606134
0.31, 0.606134
0.32, 0.606134
0.33, 0.606134
0.34, 0.606134
0.35, 0.610701
0.36, 0.610701
0.37, 0.610701
0.38, 0.610701
0.39, 0.610701
0.4, 0.610701
0.41, 0.610701
0.42, 0.610701
0.43, 0.604316
0.44, 0.604316
0.45, 0.604316
0.46, 0.604316
0.47, 0.604316
0.48, 0.604316
0.49, 0.604316
0.5, 0.604316
0.51, 0.604316
0.52, 0.603145
0.53, 0.603145
0.54, 0.603145
0.55, 0.603145
0.56, 0.603145
0.57, 0.603145
0.58, 0.603145
0.59, 0.603145
0.6, 0.603145
0.61, 0.601436
0.62, 0.601436
0.63, 0.601436
0.64, 0.601436
0.65, 0.601436
0.66, 0.601436
0.67, 0.601436
0.68, 0.606988
0.69, 0.606988
0.7, 0.606988
0.71, 0.606988
0.72, 0.606988
0.73, 0.606988
0.74, 0.606988
0.75, 0.6049
0.76, 0.6049
0.77, 0.6049
0.78, 0.6049
0.79, 0.6049
0.8, 0.6049
0.81, 0.6049
0.82, 0.6049
0.83, 0.6049
0.84, 0.603959
0.85, 0.603959
0.86, 0.603959
0.87, 0.603959
0.88, 0.603959
0.89, 0.603959
0.9, 0.603959
0.91, 0.603959
0.92, 0.603959
0.93, 0.603959
0.94, 0.600006
0.95, 0.600006
0.96, 0.600006
0.97, 0.600006
0.98, 0.600006
0.99, 0.600006
